Label,Target1,RA,Dec,RA_SEX,DEC_SEX,,,TOTAL Exp Time [ksec]6,Estimated XRT Count Rate7,Magnitude Of Brightest Object In FOV8,Comment11,PSZ2 ID#,Target ID,Number of Segments Observed,AFST time (s),Exposure time (s),Extended X-rays?,Opt/IR data?,Reobserve in Cycle 13,N_H (10^{22} atoms cm^-2),Swift XRT flux (0.1-2.4 keV),Frac flux error,RA (Swift XRT),Dec (Swift XRT),Optical/IR counterpart (BCG),Optical/IR mag,Optical/IR band,Redshift,Radio flux (mJy),Radio freq/survey,SALT,SALT Redshift
3,PSZ1_G306.96+50.58,195.4775,-12.207,13:01:55,-12:12:25,,,3,0.012,B=8.455, Jack Hughes - S/N=4.605,-999.1,,,0,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G309.93+09.20,204.3975,-53.03688889,13:37:35,-53:02:13,,,3,0.07,B=7.987, Jack Hughes - S/N=5.213,-999.3,,,0,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G311.65-18.48,237.555,-78.20058333,15:50:13,-78:12:02,,,3,0.033,B=8.021, Jack Hughes - S/N=4.636,-999.1,,,0,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G312.36+17.83,205.4104167,-44.11675,13:41:39,-44:07:00,,,3,0.05,B=6.623, Jack Hughes - S/N=4.64,1472,,,0,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G323.34+27.37,214.3020833,-32.07255556,14:17:13,-32:04:21,,,3,0.012,B=7.30, Jack Hughes - S/N=4.587,1521,,,0,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G327.27+11.05,227.8354167,-45.1025,15:11:21,-45:06:09,,,3,0.01,B=7.479, Jack Hughes - S/N=6.289,1540,,,0,,,Opt,y,,,,, ,,,,-1,,,,
3,PSZ1_G327.61-06.08,245.4433333,-58.47591667,16:21:46,-58:28:33,,,3,0.107,B=7.447, Jack Hughes - S/N=4.903,-999.1,,,0,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G337.21-12.59,265.3291667,-54.79008333,17:41:19,-54:47:24,,,3,0.063,B=9.94, Jack Hughes - S/N=5.11,1574,,,0,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G349.51-06.86,267.00625,-41.44005556,17:48:01,-41:26:24,,,3,0.025,B=7.442, Jack Hughes - S/N=6.103,1628,,,0,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G357.43+30.60,238.67875,-12.28058333,15:54:43,-12:16:50,,,3,0.011,B=10.852, Jack Hughes - S/N=5.469,-999.2,,,0,,,,y,,,,, ,,,,-1,,,,
4,PSZ2_G057.09+11.19,283.5194099,26.48299795,18:54:05,+26:28:58.79,,,,,,archive S/N=4.9635,233,58320,1,11915,5798,Yes,Yes,n,0.143,1.07E-12,0.08,18 54 09.5,+26 28 13,,,,~0.4,,,,
4,PSZ2_G075.08+19.83,281.6991477,45.77591094,18:46:48,+45:46:33.27,,,,,,archive S/N=5.7380,319,49935,2,3680,3619,Yes,Yes,n,0.0486,1.03E-12,0.1,18 46 37,+45 49 08,,,,,,,,
4,PSZ2_G090.12-13.87,330.9178989,38.08948587,22:03:40,+38:05:22.14,,,,,,archive S/N=4.8687,407,,,,,,,,,,,,,,,,,,,,
4,PSZ2_G091.56+08.50,309.0663098,54.98356235,20:36:16,+54:59:00.82,,,,,,archive S/N=4.7736,412,,,,,,,,,,,,,,,,,,,,
4,PSZ2_G093.41-16.26,335.9786463,38.00703556,22:23:55,+38:00:25.32,,,,,,archive S/N=4.5908,424,,,,,,,,,,,,,,,,,,,,
4,PSZ2_G096.43-20.89,342.0362292,35.55596568,22:48:09,+35:33:21.47,,,,,,archive S/N=5.8051,447,83301,1,620,594,Yes,Yes,n,0.0833,1.18E-12,0.21,22 48 10,+35 32 43,,,,~0.4,,,,
4,PSZ2_G125.84-18.72,16.69655665,44.0575128,1:06:47,+44:03:27.04,,,,,,archive S/N=5.3009,620,49069,1,1410,1387,Yes,Yes,n,0.0769,9.77E-13,0.16,01 07 00 ,+44 06 23,,,,0.19,,,,
4,PSZ2_G126.72-21.03,17.60297038,41.69236191,1:10:25,+41:41:32.50,,,,,,archive S/N=4.6802,628,,,,,,,,,,,,,,,,,,,,
4,PSZ2_G173.76+22.92,109.3682496,44.05767236,7:17:28,+44:03:27.62,,,,,,archive S/N=5.8035,820,,,,,Yes,Yes,,,,,,,,,,0.0652,,,,
4,PSZ2_G203.32+08.91,106.5419128,12.55394855,7:06:10,+12:33:14.21,,,,,,archive S/N=5.1536,920,38566/48190,2,,2775,Yes,Yes,n,0.0944,9.67E-13,0.12,07 06 20,+12 35 02,,,,~0.2,,,,
4,PSZ2_G228.35-66.31,39.66915281,-30.83913394,2:38:41,-30:50:21,,,,,,archive S/N=9.0827,1033,,,,,Not cluster,,,,,,,,,,,,,,,
4,PSZ2_G276.14-07.68,135.347808,-58.0304453,9:01:23,-58:01:50,,,,,,archive S/N=5.652,1283,47837,1,,1051,Yes,Yes,n,0.244,1.76E-12,0.17,09 01 23,-58 01 50,,,,~0.1,,,,
4,PSZ2_G278.87+16.70,162.0431383,-40.33588231,10:48:10,-40:20:09,,,,,,archive S/N=5.3732,1295,,,,,Too far from Plk pos,,,,,,,,,,,,,,,
4,PSZ2_G286.32-30.62,85.37937345,-75.06259142,5:41:31,-75:03:45,,,,,,archive S/N=4.9758,1335,38696/47068,2,,1656,Yes,,n,0.109,9.40E-13,0.15,05 41 29,-75 04 39,,,,~0.1,,,,
4,PSZ2_G289.50-47.49,36.61013692,-67.08190537,2:26:26,-67:04:55,,,,,,archive S/N=5.3254,1362,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G002.04-22.15,291.3595886,-36.5179405,19:25:26,-36:31:05,,,3,0.0101,,Cycle13 S/N=5.1256,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G003.21-76.04,358.3511963,-33.2932396,23:53:24,-33:17:36,,,3,0.0279,,Cycle13 S/N=4.7895,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G009.04+31.09,244.5860138,-4.1892991,16:18:21,-4:11:21,,,3,0.042,,Cycle13 S/N=5.0428,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G010.76-16.91,288.9424133,-26.9947948,19:15:46,-26:59:41,,,3,0.0491,,Cycle13 S/N=4.6352,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G013.06-75.46,356.8526001,-31.1508598,23:47:25,-31:09:03,,,3,0.0301,,Cycle13 S/N=5.2889,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G018.73-15.49,290.7770691,-19.3991756,19:23:06,-19:23:57,,,3,0.0199,,Cycle13 S/N=4.8442,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G018.92-33.64,309.2781372,-25.5929832,20:37:07,-25:35:35,,,3,0.027,,Cycle13 S/N=4.7718,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G023.87-13.88,291.3959961,-14.2055302,19:25:35,-14:12:20,,,3,0.0366,,Cycle13 S/N=4.9082,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G027.99-69.85,350.2088013,-27.0299816,23:20:50,-27:01:48,,,3,0.0244,,Cycle13 S/N=4.5635,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G031.37-71.95,352.6812134,-26.1712856,23:30:43,-26:10:17,,,3,0.0237,,Cycle13 S/N=4.7289,,,,,,,,,,,,,,,,,,,,,
